"Account_status" "Duration" "Credit_history" "Purpose" "Amount" "Savings" "Employment" "Installment_rate" "Guarantors" "Resident_since" "Property" "Age" "Other_plans" "Housing" "Num_credits" "Job" "People_maintenance" "Phone" "Foreign" "BAD" "Female" "probability" "predicted"
"1" "< 0 DM" 6 "critical account / other credits existing (not at this bank)" "radio / television" 1169 "unknown / no savings account" ">= 7 years" 4 "none" 4 "real estate" 67 "none" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.13372093 0
"2" "0 < ... <  200 DM" 48 "existing credits paid back duly till now" "radio / television" 5951 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "real estate" 22 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.67039106 1
"3" "no checking account" 12 "critical account / other credits existing (not at this bank)" "education" 2096 "< 100 DM" "4  <= ... < 7 years" 2 "none" 3 "real estate" 49 "none" "A152" 1 "unskilled - resident" 2 "none" "yes" "GOOD" "Female" 0.11702128 0
"4" "< 0 DM" 42 "existing credits paid back duly till now" "furniture / equipment" 7882 "< 100 DM" "4  <= ... < 7 years" 2 "guarantor" 4 "building society savings agreement / life insurance" 45 "none" "A153" 1 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.56060606 1
"5" "< 0 DM" 24 "delay in paying off in the past" "car (new)" 4870 "< 100 DM" "1  <= ... < 4 years" 3 "none" 4 "unknown / no property" 53 "none" "A153" 2 "skilled employee / official" 2 "none" "yes" "BAD" "Female" 0.58201058 1
"6" "no checking account" 36 "existing credits paid back duly till now" "education" 9055 "unknown / no savings account" "1  <= ... < 4 years" 2 "none" 4 "unknown / no property" 35 "none" "A153" 1 "unskilled - resident" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.25274725 0
"7" "no checking account" 24 "existing credits paid back duly till now" "furniture / equipment" 2835 "500 <= ... < 1000 DM" ">= 7 years" 3 "none" 4 "building society savings agreement / life insurance" 53 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.06349206 0
"8" "0 < ... <  200 DM" 36 "existing credits paid back duly till now" "car (used)" 6948 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 35 "none" "A151" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.45595855 0
"9" "no checking account" 12 "existing credits paid back duly till now" "radio / television" 3059 ">= 1000 DM" "4  <= ... < 7 years" 2 "none" 4 "real estate" 61 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.03804348 0
"10" "0 < ... <  200 DM" 30 "critical account / other credits existing (not at this bank)" "car (new)" 5234 "< 100 DM" "unemployed" 4 "none" 2 "car or other" 28 "none" "A152" 2 "management / self-employed / highly qualified employee / officer" 1 "none" "yes" "BAD" "Female" 0.71717172 1
"11" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "car (new)" 1295 "< 100 DM" "< 1 year" 3 "none" 1 "car or other" 25 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.56 1
"12" "< 0 DM" 48 "existing credits paid back duly till now" "business" 4308 "< 100 DM" "< 1 year" 3 "none" 4 "building society savings agreement / life insurance" 24 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.68556701 1
"13" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "radio / television" 1567 "< 100 DM" "1  <= ... < 4 years" 1 "none" 1 "car or other" 22 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.46706587 0
"14" "< 0 DM" 24 "critical account / other credits existing (not at this bank)" "car (new)" 1199 "< 100 DM" ">= 7 years" 4 "none" 4 "car or other" 60 "none" "A152" 2 "unskilled - resident" 1 "none" "yes" "BAD" "Female" 0.335 0
"15" "< 0 DM" 15 "existing credits paid back duly till now" "car (new)" 1403 "< 100 DM" "1  <= ... < 4 years" 2 "none" 4 "car or other" 28 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.61428571 1
"16" "< 0 DM" 24 "existing credits paid back duly till now" "radio / television" 1282 "100 <= ... <  500 DM" "1  <= ... < 4 years" 4 "none" 2 "car or other" 32 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "BAD" "Male" 0.50285714 1
"17" "no checking account" 24 "critical account / other credits existing (not at this bank)" "radio / television" 2424 "unknown / no savings account" ">= 7 years" 4 "none" 4 "building society savings agreement / life insurance" 53 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.01764706 0
"18" "< 0 DM" 30 "no credits taken / all credits paid back duly" "business" 8072 "unknown / no savings account" "< 1 year" 2 "none" 3 "car or other" 25 "bank" "A152" 3 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.5 0
"19" "0 < ... <  200 DM" 24 "existing credits paid back duly till now" "car (used)" 12579 "< 100 DM" ">= 7 years" 4 "none" 2 "unknown / no property" 44 "none" "A153" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Male" 0.6402439 1
"20" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 3430 "500 <= ... < 1000 DM" ">= 7 years" 3 "none" 2 "car or other" 31 "none" "A152" 1 "skilled employee / official" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.0972973 0
"21" "no checking account" 9 "critical account / other credits existing (not at this bank)" "car (new)" 2134 "< 100 DM" "1  <= ... < 4 years" 4 "none" 4 "car or other" 48 "none" "A152" 3 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.05586592 0
"22" "< 0 DM" 6 "existing credits paid back duly till now" "radio / television" 2647 "500 <= ... < 1000 DM" "1  <= ... < 4 years" 2 "none" 3 "real estate" 44 "none" "A151" 1 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.13294798 0
"23" "< 0 DM" 10 "critical account / other credits existing (not at this bank)" "car (new)" 2241 "< 100 DM" "< 1 year" 1 "none" 3 "real estate" 48 "none" "A151" 2 "unskilled - resident" 2 "none" "no" "GOOD" "Female" 0.14465409 0
"24" "0 < ... <  200 DM" 12 "critical account / other credits existing (not at this bank)" "car (used)" 1804 "100 <= ... <  500 DM" "< 1 year" 3 "none" 4 "building society savings agreement / life insurance" 44 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.2039801 0
"25" "no checking account" 10 "critical account / other credits existing (not at this bank)" "furniture / equipment" 2069 "unknown / no savings account" "1  <= ... < 4 years" 2 "none" 1 "car or other" 26 "none" "A152" 2 "skilled employee / official" 1 "none" "no" "GOOD" "Female" 0.07471264 0
